"NHS","date"
42,1963-01-01
35,1963-02-01
44,1963-03-01
52,1963-04-01
58,1963-05-01
48,1963-06-01
62,1963-07-01
56,1963-08-01
49,1963-09-01
44,1963-10-01
39,1963-11-01
31,1963-12-01
39,1964-01-01
46,1964-02-01
53,1964-03-01
49,1964-04-01
52,1964-05-01
53,1964-06-01
54,1964-07-01
56,1964-08-01
48,1964-09-01
45,1964-10-01
37,1964-11-01
33,1964-12-01
38,1965-01-01
44,1965-02-01
53,1965-03-01
49,1965-04-01
54,1965-05-01
57,1965-06-01
51,1965-07-01
58,1965-08-01
48,1965-09-01
44,1965-10-01
42,1965-11-01
37,1965-12-01
42,1966-01-01
43,1966-02-01
53,1966-03-01
49,1966-04-01
49,1966-05-01
40,1966-06-01
40,1966-07-01
36,1966-08-01
29,1966-09-01
31,1966-10-01
26,1966-11-01
23,1966-12-01
29,1967-01-01
32,1967-02-01
41,1967-03-01
44,1967-04-01
49,1967-05-01
47,1967-06-01
46,1967-07-01
47,1967-08-01
43,1967-09-01
45,1967-10-01
34,1967-11-01
31,1967-12-01
35,1968-01-01
43,1968-02-01
46,1968-03-01
46,1968-04-01
43,1968-05-01
41,1968-06-01
44,1968-07-01
47,1968-08-01
41,1968-09-01
40,1968-10-01
32,1968-11-01
32,1968-12-01
34,1969-01-01
40,1969-02-01
43,1969-03-01
42,1969-04-01
43,1969-05-01
44,1969-06-01
39,1969-07-01
40,1969-08-01
33,1969-09-01
32,1969-10-01
31,1969-11-01
28,1969-12-01
34,1970-01-01
29,1970-02-01
36,1970-03-01
42,1970-04-01
43,1970-05-01
44,1970-06-01
44,1970-07-01
48,1970-08-01
45,1970-09-01
44,1970-10-01
40,1970-11-01
37,1970-12-01
45,1971-01-01
49,1971-02-01
62,1971-03-01
62,1971-04-01
58,1971-05-01
59,1971-06-01
64,1971-07-01
62,1971-08-01
50,1971-09-01
52,1971-10-01
50,1971-11-01
44,1971-12-01
51,1972-01-01
56,1972-02-01
60,1972-03-01
65,1972-04-01
64,1972-05-01
63,1972-06-01
63,1972-07-01
72,1972-08-01
61,1972-09-01
65,1972-10-01
51,1972-11-01
47,1972-12-01
55,1973-01-01
60,1973-02-01
68,1973-03-01
63,1973-04-01
65,1973-05-01
61,1973-06-01
54,1973-07-01
52,1973-08-01
46,1973-09-01
42,1973-10-01
37,1973-11-01
30,1973-12-01
37,1974-01-01
44,1974-02-01
55,1974-03-01
53,1974-04-01
58,1974-05-01
50,1974-06-01
48,1974-07-01
45,1974-08-01
41,1974-09-01
34,1974-10-01
30,1974-11-01
24,1974-12-01
29,1975-01-01
34,1975-02-01
44,1975-03-01
54,1975-04-01
57,1975-05-01
51,1975-06-01
51,1975-07-01
53,1975-08-01
46,1975-09-01
46,1975-10-01
46,1975-11-01
39,1975-12-01
41,1976-01-01
53,1976-02-01
55,1976-03-01
62,1976-04-01
55,1976-05-01
56,1976-06-01
57,1976-07-01
59,1976-08-01
58,1976-09-01
55,1976-10-01
49,1976-11-01
47,1976-12-01
57,1977-01-01
68,1977-02-01
84,1977-03-01
81,1977-04-01
78,1977-05-01
74,1977-06-01
64,1977-07-01
74,1977-08-01
71,1977-09-01
63,1977-10-01
55,1977-11-01
51,1977-12-01
57,1978-01-01
63,1978-02-01
75,1978-03-01
85,1978-04-01
80,1978-05-01
77,1978-06-01
68,1978-07-01
72,1978-08-01
68,1978-09-01
70,1978-10-01
53,1978-11-01
50,1978-12-01
53,1979-01-01
58,1979-02-01
73,1979-03-01
72,1979-04-01
68,1979-05-01
63,1979-06-01
64,1979-07-01
68,1979-08-01
60,1979-09-01
54,1979-10-01
41,1979-11-01
35,1979-12-01
43,1980-01-01
44,1980-02-01
44,1980-03-01
36,1980-04-01
44,1980-05-01
50,1980-06-01
55,1980-07-01
61,1980-08-01
50,1980-09-01
46,1980-10-01
39,1980-11-01
33,1980-12-01
37,1981-01-01
40,1981-02-01
49,1981-03-01
44,1981-04-01
45,1981-05-01
38,1981-06-01
36,1981-07-01
34,1981-08-01
28,1981-09-01
29,1981-10-01
27,1981-11-01
29,1981-12-01
28,1982-01-01
29,1982-02-01
36,1982-03-01
32,1982-04-01
36,1982-05-01
34,1982-06-01
31,1982-07-01
36,1982-08-01
39,1982-09-01
40,1982-10-01
39,1982-11-01
33,1982-12-01
44,1983-01-01
46,1983-02-01
57,1983-03-01
59,1983-04-01
64,1983-05-01
59,1983-06-01
51,1983-07-01
50,1983-08-01
48,1983-09-01
51,1983-10-01
45,1983-11-01
48,1983-12-01
52,1984-01-01
58,1984-02-01
63,1984-03-01
61,1984-04-01
59,1984-05-01
58,1984-06-01
52,1984-07-01
48,1984-08-01
53,1984-09-01
55,1984-10-01
42,1984-11-01
38,1984-12-01
48,1985-01-01
55,1985-02-01
67,1985-03-01
60,1985-04-01
65,1985-05-01
65,1985-06-01
63,1985-07-01
61,1985-08-01
54,1985-09-01
52,1985-10-01
51,1985-11-01
47,1985-12-01
55,1986-01-01
59,1986-02-01
89,1986-03-01
84,1986-04-01
75,1986-05-01
66,1986-06-01
57,1986-07-01
52,1986-08-01
60,1986-09-01
54,1986-10-01
48,1986-11-01
49,1986-12-01
53,1987-01-01
59,1987-02-01
73,1987-03-01
72,1987-04-01
62,1987-05-01
58,1987-06-01
55,1987-07-01
56,1987-08-01
52,1987-09-01
52,1987-10-01
43,1987-11-01
37,1987-12-01
43,1988-01-01
55,1988-02-01
68,1988-03-01
68,1988-04-01
64,1988-05-01
65,1988-06-01
57,1988-07-01
59,1988-08-01
54,1988-09-01
57,1988-10-01
43,1988-11-01
42,1988-12-01
52,1989-01-01
51,1989-02-01
58,1989-03-01
60,1989-04-01
61,1989-05-01
58,1989-06-01
62,1989-07-01
61,1989-08-01
49,1989-09-01
51,1989-10-01
47,1989-11-01
40,1989-12-01
45,1990-01-01
50,1990-02-01
58,1990-03-01
52,1990-04-01
50,1990-05-01
50,1990-06-01
46,1990-07-01
46,1990-08-01
38,1990-09-01
37,1990-10-01
34,1990-11-01
29,1990-12-01
30,1991-01-01
40,1991-02-01
51,1991-03-01
50,1991-04-01
47,1991-05-01
47,1991-06-01
43,1991-07-01
46,1991-08-01
37,1991-09-01
41,1991-10-01
39,1991-11-01
36,1991-12-01
48,1992-01-01
55,1992-02-01
56,1992-03-01
53,1992-04-01
52,1992-05-01
53,1992-06-01
52,1992-07-01
56,1992-08-01
51,1992-09-01
48,1992-10-01
42,1992-11-01
42,1992-12-01
44,1993-01-01
50,1993-02-01
60,1993-03-01
66,1993-04-01
58,1993-05-01
59,1993-06-01
55,1993-07-01
57,1993-08-01
57,1993-09-01
56,1993-10-01
53,1993-11-01
51,1993-12-01
46,1994-01-01
58,1994-02-01
74,1994-03-01
65,1994-04-01
65,1994-05-01
55,1994-06-01
52,1994-07-01
59,1994-08-01
54,1994-09-01
57,1994-10-01
45,1994-11-01
40,1994-12-01
47,1995-01-01
47,1995-02-01
60,1995-03-01
58,1995-04-01
63,1995-05-01
64,1995-06-01
64,1995-07-01
63,1995-08-01
54,1995-09-01
54,1995-10-01
46,1995-11-01
45,1995-12-01
54,1996-01-01
68,1996-02-01
70,1996-03-01
70,1996-04-01
69,1996-05-01
65,1996-06-01
66,1996-07-01
73,1996-08-01
62,1996-09-01
56,1996-10-01
54,1996-11-01
51,1996-12-01
61,1997-01-01
69,1997-02-01
81,1997-03-01
70,1997-04-01
71,1997-05-01
71,1997-06-01
69,1997-07-01
72,1997-08-01
67,1997-09-01
62,1997-10-01
61,1997-11-01
51,1997-12-01
64,1998-01-01
75,1998-02-01
81,1998-03-01
82,1998-04-01
82,1998-05-01
83,1998-06-01
75,1998-07-01
75,1998-08-01
68,1998-09-01
69,1998-10-01
70,1998-11-01
61,1998-12-01
67,1999-01-01
76,1999-02-01
84,1999-03-01
86,1999-04-01
80,1999-05-01
82,1999-06-01
78,1999-07-01
78,1999-08-01
65,1999-09-01
67,1999-10-01
61,1999-11-01
57,1999-12-01
67,2000-01-01
78,2000-02-01
88,2000-03-01
78,2000-04-01
77,2000-05-01
71,2000-06-01
76,2000-07-01
73,2000-08-01
70,2000-09-01
71,2000-10-01
63,2000-11-01
65,2000-12-01
72,2001-01-01
85,2001-02-01
94,2001-03-01
84,2001-04-01
80,2001-05-01
79,2001-06-01
76,2001-07-01
74,2001-08-01
66,2001-09-01
66,2001-10-01
67,2001-11-01
66,2001-12-01
66,2002-01-01
84,2002-02-01
90,2002-03-01
86,2002-04-01
88,2002-05-01
84,2002-06-01
82,2002-07-01
90,2002-08-01
82,2002-09-01
77,2002-10-01
73,2002-11-01
70,2002-12-01
76,2003-01-01
82,2003-02-01
98,2003-03-01
91,2003-04-01
101,2003-05-01
107,2003-06-01
99,2003-07-01
105,2003-08-01
90,2003-09-01
88,2003-10-01
76,2003-11-01
75,2003-12-01
89,2004-01-01
102,2004-02-01
123,2004-03-01
109,2004-04-01
115,2004-05-01
105,2004-06-01
96,2004-07-01
102,2004-08-01
94,2004-09-01
101,2004-10-01
84,2004-11-01
83,2004-12-01
92,2005-01-01
109,2005-02-01
127,2005-03-01
116,2005-04-01
120,2005-05-01
115,2005-06-01
117,2005-07-01
110,2005-08-01
99,2005-09-01
105,2005-10-01
86,2005-11-01
87,2005-12-01
89,2006-01-01
88,2006-02-01
108,2006-03-01
100,2006-04-01
102,2006-05-01
98,2006-06-01
83,2006-07-01
88,2006-08-01
80,2006-09-01
74,2006-10-01
71,2006-11-01
71,2006-12-01
66,2007-01-01
68,2007-02-01
80,2007-03-01
83,2007-04-01
79,2007-05-01
73,2007-06-01
68,2007-07-01
60,2007-08-01
53,2007-09-01
57,2007-10-01
45,2007-11-01
44,2007-12-01
44,2008-01-01
48,2008-02-01
49,2008-03-01
49,2008-04-01
49,2008-05-01
45,2008-06-01
43,2008-07-01
38,2008-08-01
35,2008-09-01
32,2008-10-01
27,2008-11-01
26,2008-12-01
24,2009-01-01
29,2009-02-01
31,2009-03-01
32,2009-04-01
34,2009-05-01
37,2009-06-01
38,2009-07-01
36,2009-08-01
30,2009-09-01
33,2009-10-01
26,2009-11-01
24,2009-12-01
24,2010-01-01
27,2010-02-01
36,2010-03-01
41,2010-04-01
26,2010-05-01
28,2010-06-01
26,2010-07-01
23,2010-08-01
25,2010-09-01
23,2010-10-01
20,2010-11-01
23,2010-12-01
21,2011-01-01
22,2011-02-01
28,2011-03-01
30,2011-04-01
28,2011-05-01
28,2011-06-01
27,2011-07-01
25,2011-08-01
24,2011-09-01
25,2011-10-01
23,2011-11-01
24,2011-12-01
23,2012-01-01
30,2012-02-01
34,2012-03-01
34,2012-04-01
35,2012-05-01
34,2012-06-01
33,2012-07-01
31,2012-08-01
30,2012-09-01
29,2012-10-01
28,2012-11-01
28,2012-12-01
32,2013-01-01
36,2013-02-01
41,2013-03-01
43,2013-04-01
40,2013-05-01
43,2013-06-01
33,2013-07-01
31,2013-08-01
31,2013-09-01
36,2013-10-01
32,2013-11-01
31,2013-12-01
33,2014-01-01
35,2014-02-01
39,2014-03-01
38,2014-04-01
42,2014-05-01
38,2014-06-01
